model_key,label,auroc,ap
average_fusion,Atelectasis,0.9384931454071012,0.5906197257639768
average_fusion,Cardiomegaly,0.9676213880744591,0.7139153756356205
average_fusion,Consolidation,0.8781907739482143,0.13885904996151585
average_fusion,Edema,0.9766444020418316,0.5439116995870422
average_fusion,Enlarged Cardiomediastinum,0.9542173515860094,0.06949481949481949
average_fusion,Fracture,0.9390236731593212,0.3157730460187591
average_fusion,Lung Lesion,0.9221699122471998,0.6152890905746897
average_fusion,Lung Opacity,0.9108348992794961,0.5143767490965353
average_fusion,No Finding,0.8310945824600492,0.6533143330312113
average_fusion,Pleural Effusion,0.940048804221162,0.5887279285929022
average_fusion,Pleural Other,0.8750498160461156,0.16475217518502866
average_fusion,Pneumonia,0.8869173193035159,0.2565793872484155
average_fusion,Pneumothorax,0.9506453689357742,0.5273972245781413
average_fusion,Support Devices,0.8188578435910451,0.3950366980451167
bicross_i2t_only,Atelectasis,0.9935339591156551,0.8971664161811498
bicross_i2t_only,Cardiomegaly,0.9952154384973071,0.9158044326715093
bicross_i2t_only,Consolidation,0.8896074454690468,0.32742800342261197
bicross_i2t_only,Edema,0.9974117049949245,0.8789413207979384
bicross_i2t_only,Enlarged Cardiomediastinum,0.9266857140954303,0.1114630128781072
bicross_i2t_only,Fracture,0.9961654952609569,0.8774972029233392
bicross_i2t_only,Lung Lesion,0.9974320637893493,0.9839223792359071
bicross_i2t_only,Lung Opacity,0.9835294059405941,0.8382345572427213
bicross_i2t_only,No Finding,0.9599260287213477,0.9099560598870726
bicross_i2t_only,Pleural Effusion,0.9902400495700303,0.8914579625211217
bicross_i2t_only,Pleural Other,0.9885582199708594,0.7726884170019417
bicross_i2t_only,Pneumonia,0.9880083122144281,0.7331950978130448
bicross_i2t_only,Pneumothorax,0.9981617647058824,0.9444444444444444
bicross_i2t_only,Support Devices,0.9334584195997241,0.7888308225984584
bicross_no_cross_attention,Atelectasis,0.9520063179153176,0.6499920904083885
bicross_no_cross_attention,Cardiomegaly,0.9692218649504456,0.7532843909231103
bicross_no_cross_attention,Consolidation,0.862017906644681,0.2747012773146642
bicross_no_cross_attention,Edema,0.986335420814053,0.6714620096676452
bicross_no_cross_attention,Enlarged Cardiomediastinum,0.9357054930076179,0.16108003503121732
bicross_no_cross_attention,Fracture,0.9374349943919297,0.45963730019625043
bicross_no_cross_attention,Lung Lesion,0.9432289514809673,0.6898907976544065
bicross_no_cross_attention,Lung Opacity,0.9403467282265985,0.586822368660825
bicross_no_cross_attention,No Finding,0.9037396369964564,0.8110458817402778
bicross_no_cross_attention,Pleural Effusion,0.9583813208930113,0.6910917740785334
bicross_no_cross_attention,Pleural Other,0.8470426957738099,0.16882294377185122
bicross_no_cross_attention,Pneumonia,0.882793879013717,0.31279214482640333
bicross_no_cross_attention,Pneumothorax,0.9675993340917053,0.8304428525621522
bicross_no_cross_attention,Support Devices,0.885505431839424,0.5677045235635404
bicross_no_layer_norm,Atelectasis,0.9937781026570076,0.9091156248411338
bicross_no_layer_norm,Cardiomegaly,0.9943650024525756,0.9234922978443149
bicross_no_layer_norm,Consolidation,0.8591212764813422,0.26692675386394976
bicross_no_layer_norm,Edema,0.998012903947672,0.9099142909559577
bicross_no_layer_norm,Enlarged Cardiomediastinum,0.8772595234368842,0.06218215797849538
bicross_no_layer_norm,Fracture,0.9968629070586096,0.9044638862820681
bicross_no_layer_norm,Lung Lesion,0.9927626025070061,0.9586406035499225
bicross_no_layer_norm,Lung Opacity,0.9816127480513134,0.8412084499662539
bicross_no_layer_norm,No Finding,0.9312010648894266,0.8481119770233668
bicross_no_layer_norm,Pleural Effusion,0.97783692942599,0.8700310787475543
bicross_no_layer_norm,Pleural Other,0.9860062568348438,0.684524215003667
bicross_no_layer_norm,Pneumonia,0.9771619540523453,0.629994241010274
bicross_no_layer_norm,Pneumothorax,0.9385422477883648,0.7129627494651655
bicross_no_layer_norm,Support Devices,0.9520451216548054,0.8289983036099106
bicross_no_residual_update,Atelectasis,0.995656805498629,0.9291170405522798
bicross_no_residual_update,Cardiomegaly,0.9941743172364234,0.9041235190001095
bicross_no_residual_update,Consolidation,0.8606374565365451,0.5905894120619865
bicross_no_residual_update,Edema,0.9980551189942842,0.9128900831877482
bicross_no_residual_update,Enlarged Cardiomediastinum,0.9608784017031686,0.06807957331213145
bicross_no_residual_update,Fracture,0.9979426731129379,0.8988530074443387
bicross_no_residual_update,Lung Lesion,0.996870679230944,0.9697150373260124
bicross_no_residual_update,Lung Opacity,0.99060025984303,0.915451199273901
bicross_no_residual_update,No Finding,0.9818387380275707,0.9555520075130262
bicross_no_residual_update,Pleural Effusion,0.9798967153773188,0.9101124458203674
bicross_no_residual_update,Pleural Other,0.9930462156520271,0.8272553426965191
bicross_no_residual_update,Pneumonia,0.9895294210397294,0.7062442912933108
bicross_no_residual_update,Pneumothorax,0.9577638736216346,0.8660342317009696
bicross_no_residual_update,Support Devices,0.9651627359977161,0.8531874495144639
bicross_t2i_only,Atelectasis,0.9525684289463817,0.7052412969178755
bicross_t2i_only,Cardiomegaly,0.9750112900797833,0.7979012013638918
bicross_t2i_only,Consolidation,0.8229737964655698,0.1293440912701831
bicross_t2i_only,Edema,0.9869158878504672,0.6350346829780328
bicross_t2i_only,Enlarged Cardiomediastinum,0.9664838513101768,0.4358974358974359
bicross_t2i_only,Fracture,0.9005734525215044,0.22402791073770814
bicross_t2i_only,Lung Lesion,0.9461343666097144,0.7795805075285803
bicross_t2i_only,Lung Opacity,0.9215621562156215,0.5412387763250717
bicross_t2i_only,No Finding,0.8930083333333334,0.7920310869721577
bicross_t2i_only,Pleural Effusion,0.962780610749663,0.7762544958209693
bicross_t2i_only,Pleural Other,0.8337980173482032,0.1408379446847794
bicross_t2i_only,Pneumonia,0.8442916487609226,0.47828287211693643
bicross_t2i_only,Pneumothorax,0.9910549855301236,0.847069597069597
bicross_t2i_only,Support Devices,0.8798093512767425,0.5086322870781218
bicross_with_alignment_loss,Atelectasis,0.9936224640415764,0.9062656943837756
bicross_with_alignment_loss,Cardiomegaly,0.9916236890173531,0.874183988044006
bicross_with_alignment_loss,Consolidation,0.8129102703695739,0.33311490214999223
bicross_with_alignment_loss,Edema,0.9985569782996301,0.9257062209758288
bicross_with_alignment_loss,Enlarged Cardiomediastinum,0.9011487286729292,0.04401154401154401
bicross_with_alignment_loss,Fracture,0.9954735062993012,0.8502376752468664
bicross_with_alignment_loss,Lung Lesion,0.9946882352909295,0.9796644235641915
bicross_with_alignment_loss,Lung Opacity,0.9864836301551841,0.8753410372404318
bicross_with_alignment_loss,No Finding,0.9627802927170146,0.9124952404866015
bicross_with_alignment_loss,Pleural Effusion,0.9827274088311245,0.9075288889079163
bicross_with_alignment_loss,Pleural Other,0.9949683833100155,0.7847319347319347
bicross_with_alignment_loss,Pneumonia,0.9819654361147124,0.6358640151812154
bicross_with_alignment_loss,Pneumothorax,0.9603891794365538,0.8229677629658152
bicross_with_alignment_loss,Support Devices,0.9456689102143647,0.8148835863480417
bidirectional_cross_attention,Atelectasis,0.9935486722567671,0.9159639555887064
bidirectional_cross_attention,Cardiomegaly,0.9918431919523835,0.8967503336672121
bidirectional_cross_attention,Consolidation,0.8079790912403962,0.28310390901562216
bidirectional_cross_attention,Edema,0.9980974440215894,0.8990386942444477
bidirectional_cross_attention,Enlarged Cardiomediastinum,0.882608010353987,0.07406179771540848
bidirectional_cross_attention,Fracture,0.994537791870698,0.7946936344085224
bidirectional_cross_attention,Lung Lesion,0.9958842751777593,0.9816646702496348
bidirectional_cross_attention,Lung Opacity,0.987034163393027,0.8835693904671752
bidirectional_cross_attention,No Finding,0.959509290136127,0.9062211285562315
bidirectional_cross_attention,Pleural Effusion,0.981044111057233,0.8986006886014214
bidirectional_cross_attention,Pleural Other,0.9944668341863184,0.7293099647266313
bidirectional_cross_attention,Pneumonia,0.9790280371259228,0.6100797241984366
bidirectional_cross_attention,Pneumothorax,0.9580558421791358,0.8261281184583357
bidirectional_cross_attention,Support Devices,0.9499826558670432,0.8092771846612598
concat_fusion,Atelectasis,0.950165671999358,0.6324152905800743
concat_fusion,Cardiomegaly,0.9611479583778344,0.7007355573342591
concat_fusion,Consolidation,0.8411177351806048,0.11021217977364818
concat_fusion,Edema,0.981210955634141,0.5885325132149509
concat_fusion,Enlarged Cardiomediastinum,0.9592933359529098,0.16709956709956708
concat_fusion,Fracture,0.9217675505413846,0.31711699006522603
concat_fusion,Lung Lesion,0.9422158646397923,0.689166148293176
concat_fusion,Lung Opacity,0.9133269500144579,0.5164937187627028
concat_fusion,No Finding,0.867892619300552,0.7307135905058111
concat_fusion,Pleural Effusion,0.9340861884785773,0.584811983559682
concat_fusion,Pleural Other,0.853015120014455,0.1639738070064368
concat_fusion,Pneumonia,0.8487012724994679,0.27325777899825865
concat_fusion,Pneumothorax,0.9498545019769428,0.6847778341161175
concat_fusion,Support Devices,0.8276927213834329,0.39530863970259705
gated_fusion,Atelectasis,0.9323686986297526,0.5777997139388525
gated_fusion,Cardiomegaly,0.95856009770855,0.6683716219028102
gated_fusion,Consolidation,0.8625932186555305,0.10453490545384524
gated_fusion,Edema,0.9730031645975225,0.5403543110944162
gated_fusion,Enlarged Cardiomediastinum,0.9708250222830497,0.09312448304383787
gated_fusion,Fracture,0.9185644881571949,0.2586512920512597
gated_fusion,Lung Lesion,0.9322275183179044,0.630640673897406
gated_fusion,Lung Opacity,0.9225785588833545,0.5402090660275601
gated_fusion,No Finding,0.8618367963631712,0.7310900778194048
gated_fusion,Pleural Effusion,0.9448052340985997,0.6185084167598544
gated_fusion,Pleural Other,0.8422370363513231,0.2109193273162532
gated_fusion,Pneumonia,0.8807365954175336,0.22377842323288943
gated_fusion,Pneumothorax,0.9489544069714256,0.6419504699879514
gated_fusion,Support Devices,0.8189061582539843,0.3747584708295231
image_only,Atelectasis,0.8579060478972016,0.41158971288975205
image_only,Cardiomegaly,0.9294533066257493,0.5476857836522148
image_only,Consolidation,0.8527712806633927,0.10139858530987562
image_only,Edema,0.9397372630104476,0.4007572373977876
image_only,Enlarged Cardiomediastinum,0.9780094326952001,0.11690348182283666
image_only,Fracture,0.7869084555394282,0.07578898420508716
image_only,Lung Lesion,0.7279911468999295,0.31504239702915854
image_only,Lung Opacity,0.7922576178799833,0.3359884335005477
image_only,No Finding,0.6829479635667915,0.3850209950888445
image_only,Pleural Effusion,0.8261161838657237,0.39201203567314713
image_only,Pleural Other,0.8316586115399253,0.15938296819981343
image_only,Pneumonia,0.7587962579225177,0.15051623643268322
image_only,Pneumothorax,0.7463611288306184,0.07961231926437619
image_only,Support Devices,0.6295519114540854,0.21427624623181754
self_attention_fusion,Atelectasis,0.9914905817870254,0.9070101813434496
self_attention_fusion,Cardiomegaly,0.9948154281685605,0.9375379677633736
self_attention_fusion,Consolidation,0.8584961159204694,0.34188528282005276
self_attention_fusion,Edema,0.997382754997,0.869145284844298
self_attention_fusion,Enlarged Cardiomediastinum,0.8068756111882553,0.03870942620942621
self_attention_fusion,Fracture,0.9963373981531735,0.915921404983905
self_attention_fusion,Lung Lesion,0.990789315753029,0.9362737209526787
self_attention_fusion,Lung Opacity,0.9736496421739244,0.7654307282490592
self_attention_fusion,No Finding,0.9035910964985736,0.7884869364294728
self_attention_fusion,Pleural Effusion,0.9816762710330645,0.8683824575749065
self_attention_fusion,Pleural Other,0.9890655942627227,0.7705746244158652
self_attention_fusion,Pneumonia,0.9672669404284818,0.6396673090415649
self_attention_fusion,Pneumothorax,0.9496300830487808,0.7714083856697256
self_attention_fusion,Support Devices,0.9350663154368687,0.7577967121967658
text_only,Atelectasis,0.9396989808659276,0.564147241924934
text_only,Cardiomegaly,0.9428697151503745,0.5732734551336681
text_only,Consolidation,0.8807248352570767,0.13730408162867866
text_only,Edema,0.9728780172499607,0.45037172432742656
text_only,Enlarged Cardiomediastinum,0.8994543289055832,0.04733552832144381
text_only,Fracture,0.9468524089547191,0.4463727581753767
text_only,Lung Lesion,0.9358768385866295,0.6164614296298985
text_only,Lung Opacity,0.9199023167440612,0.5181423543295994
text_only,No Finding,0.8551276223626094,0.7146341052968787
text_only,Pleural Effusion,0.9431472584397097,0.5582260146920116
text_only,Pleural Other,0.8615206290531995,0.08035539199318144
text_only,Pneumonia,0.9141291629134204,0.2519935404869021
text_only,Pneumothorax,0.9560186720340473,0.7436743312329835
text_only,Support Devices,0.8650349785626466,0.466927722844452
