model_key,model,seeds,macro_auroc,macro_ap,macro_f1,micro_f1,label_accuracy,subset_accuracy,loss
bidirectional_cross_attention,Bidirectional cross-attention,"42,95,1024",0.9624013864870277,0.7506045138970746,0.6840538183641005,0.815847238035824,0.9762337662337662,0.7387878787878788,0.5013207910627578
self_attention_fusion,Self-attention fusion,"42,95,1024",0.9525809392035666,0.7363021730353245,0.6460945468831473,0.7331936529977264,0.9608658008658009,0.5993939393939394,0.37550288677215576
text_only,Text-only,"42,95,1024",0.9166596975057119,0.44065854857267395,0.38495322078673716,0.49998711473801155,0.9051948051948052,0.3618181818181818,0.5404484215288451
average_fusion,Average fusion,"42,95,1024",0.9135578057358069,0.43486052162955535,0.39396719404553343,0.5138797796881351,0.9161904761904762,0.38181818181818183,0.5882279924912887
gated_fusion,Gated fusion,"42,95,1024",0.912014071049207,0.4439065180968475,0.3930363195254452,0.5109884968615863,0.912943722943723,0.33515151515151514,0.7167754317413677
concat_fusion,Concatenation fusion,"42,95,1024",0.9108206032852794,0.46818682850089344,0.4273956624283292,0.5468044547664502,0.9274025974025975,0.4381818181818182,0.6717834598006625
image_only,Image-only,"42,95,1024",0.8100333291707852,0.2632839583355673,0.2687888484928717,0.3694363585825918,0.874025974025974,0.19515151515151516,0.7790457454594698
