model_key,epoch,train_main_loss,train_loss,val_macro_auroc,val_macro_ap,val_macro_f1,val_micro_f1,val_label_accuracy,val_subset_accuracy,val_main_loss,val_loss,train_alignment_loss,train_weighted_alignment_loss,val_alignment_loss,val_weighted_alignment_loss
bicross_i2t_only,1,0.7386093061522838,0.7386093061522838,0.9100592874430079,0.4487899896466991,0.31790236524456544,0.42641738043578736,0.8741558441558442,0.3509090909090909,0.5633380155852347,0.5633380155852347,,,,
bicross_i2t_only,2,0.4336867493345741,0.4336867493345741,0.9448431961378042,0.623361389551555,0.47997052129665346,0.5867654966232202,0.9264285714285715,0.4418181818181818,0.4409634471481496,0.4409634471481496,,,,
bicross_i2t_only,3,0.28595252618460754,0.28595252618460754,0.9608740846506478,0.7040423536348706,0.5698371516900878,0.6517074720717104,0.9410389610389611,0.48818181818181816,0.37993447003039443,0.37993447003039443,,,,
bicross_i2t_only,4,0.19996172546562235,0.19996172546562235,0.9650541290049112,0.7365780419948631,0.6116272829462482,0.6990531401294791,0.9575974025974027,0.5972727272727272,0.3916746505282142,0.3916746505282142,,,,
bicross_i2t_only,5,0.1470262045991648,0.1470262045991648,0.9699127117967903,0.7788907413092081,0.66011294746585,0.7448733524164559,0.9637012987012987,0.6245454545454545,0.4246275395561348,0.4246275395561348,,,,
bicross_i2t_only,6,0.11597409557016886,0.11597409557016886,0.9715890943295004,0.7914103995141647,0.6643045304377564,0.7607888764570985,0.9688961038961039,0.6663636363636364,0.5652607259628448,0.5652607259628448,,,,
bicross_i2t_only,7,0.08706219408759845,0.08706219408759845,0.9722544988160453,0.7962052225994634,0.6930451120231238,0.772093023255814,0.968961038961039,0.6636363636363636,0.549765860519626,0.549765860519626,,,,
bicross_i2t_only,8,0.0663514545198968,0.0663514545198968,0.9737809368171755,0.7884008554304307,0.7032041306674479,0.7966087851993893,0.9757792207792209,0.7445454545454546,0.6091072052361612,0.6091072052361612,,,,
bicross_no_cross_attention,1,0.7631213985331247,0.7631213985331247,0.9017439821098797,0.4169668870159509,0.33720149707225616,0.4117036166753098,0.8652813852813853,0.2551515151515151,0.6033932945945046,0.6033932945945046,,,,
bicross_no_cross_attention,2,0.48878574217254694,0.48878574217254694,0.924291336807554,0.4957483108330292,0.42042605311372666,0.5375445254847114,0.9207359307359307,0.43575757575757573,0.5516792440775669,0.5516792440775669,,,,
bicross_no_cross_attention,3,0.3694924645863374,0.3694924645863374,0.9304437778417673,0.5245449478504408,0.45520374254479107,0.5547886564491221,0.925887445887446,0.4296969696969697,0.5518357135671558,0.5518357135671558,,,,
bicross_no_cross_attention,4,0.28786896883949703,0.28786896883949703,0.9323436017463603,0.5380003511298637,0.4554161701462136,0.5713210742064652,0.9262337662337662,0.43212121212121213,0.5338981450687755,0.5338981450687755,,,,
bicross_no_cross_attention,5,0.23228485172260702,0.23228485172260702,0.9325719012329808,0.5420563863385769,0.4573246071711503,0.5859215195631373,0.9328571428571428,0.45515151515151525,0.6023665044524452,0.6023665044524452,,,,
bicross_no_cross_attention,6,0.18978548811051277,0.18978548811051277,0.933115125344509,0.530281268470749,0.47033255772398674,0.6215815792080103,0.9451948051948053,0.5121212121212121,0.6970988157301238,0.6970988157301238,,,,
bicross_no_cross_attention,7,0.15138359201762785,0.15138359201762785,0.9331000457060773,0.5343276924578123,0.4751994308261636,0.6177046282056338,0.9454112554112554,0.5224242424242423,0.7526075285492522,0.7526075285492522,,,,
bicross_no_cross_attention,8,0.12604248149344194,0.12604248149344194,0.9310194137360406,0.5336269200310096,0.468465762680139,0.6193534934376742,0.9444588744588746,0.48545454545454536,0.8389517535043485,0.8389517535043485,,,,
bicross_no_layer_norm,1,0.8157917700299476,0.8157917700299476,0.8529627876229863,0.3067176663370508,0.2513918087511458,0.39556623704075244,0.8581385281385282,0.2545454545454545,0.667921837604407,0.667921837604407,,,,
bicross_no_layer_norm,2,0.5901951468371824,0.5901951468371824,0.9199416487657418,0.509576596192982,0.3693743808258248,0.46284314254971876,0.8826839826839826,0.31939393939393934,0.4798397627382567,0.4798397627382567,,,,
bicross_no_layer_norm,3,0.411035407163255,0.411035407163255,0.9412983584264776,0.6031528932682185,0.48154773442763954,0.5685229408347908,0.9240259740259741,0.363030303030303,0.4399366877295754,0.4399366877295754,,,,
bicross_no_layer_norm,4,0.31335806095366286,0.31335806095366286,0.9568927050851541,0.6740870305064162,0.5641791568340573,0.6306476457134765,0.9380519480519481,0.4078787878787879,0.3662557551716313,0.3662557551716313,,,,
bicross_no_layer_norm,5,0.24196143159446823,0.24196143159446823,0.9654957964225176,0.7360735524091703,0.6420297015847193,0.7219491771921372,0.9624675324675325,0.596969696969697,0.37289497366457275,0.37289497366457275,,,,
bicross_no_layer_norm,6,0.20017183001984798,0.20017183001984798,0.9659775650136839,0.7446231134399593,0.6386423307749401,0.7130840983821306,0.9617748917748918,0.6018181818181818,0.3843709006454005,0.3843709006454005,,,,
bicross_no_layer_norm,7,0.16639234724331903,0.16639234724331903,0.968569569638578,0.7670016382045555,0.659517513263832,0.7565247942570846,0.965974025974026,0.6272727272727273,0.400819403303392,0.400819403303392,,,,
bicross_no_layer_norm,8,0.13366158925157515,0.13366158925157515,0.9701186423066499,0.78056928024146,0.6958519684665857,0.7975965030160577,0.9736363636363636,0.7042424242424242,0.4217531354951136,0.4217531354951136,,,,
bicross_no_residual_update,1,0.6779274894304478,0.6779274894304478,0.9358517063636208,0.5450832355324143,0.42417022750177796,0.5116931907712612,0.8996536796536797,0.3321212121212121,0.47621330506873855,0.47621330506873855,,,,
bicross_no_residual_update,2,0.38066511008299053,0.38066511008299053,0.963132476302059,0.7049308993090007,0.495369562078894,0.5727677237747706,0.9274891774891775,0.46787878787878795,0.3493792078169909,0.3493792078169909,,,,
bicross_no_residual_update,3,0.26652714568481845,0.26652714568481845,0.9707199520135408,0.7413202530912885,0.6202281202704019,0.7291644940435017,0.9610822510822512,0.6096969696969697,0.3383131002657341,0.3383131002657341,,,,
bicross_no_residual_update,4,0.20647840592676273,0.20647840592676273,0.9773506320416994,0.7908611313084083,0.6664634361928511,0.7577617235028896,0.9653246753246753,0.6351515151515151,0.3311478977582671,0.3311478977582671,,,,
bicross_no_residual_update,5,0.15958964149812443,0.15958964149812443,0.9803090225711181,0.7961548405983647,0.699052534798034,0.8106100270321663,0.9760606060606062,0.7454545454545455,0.37439442108300597,0.37439442108300597,,,,
bicross_no_residual_update,6,0.12897702028733407,0.12897702028733407,0.9831205464188345,0.8134462661918089,0.7283031489002867,0.8181890913525014,0.9762770562770563,0.7448484848484848,0.32100765855023355,0.32100765855023355,,,,
bicross_no_residual_update,7,0.10727258031052034,0.10727258031052034,0.9831989457308645,0.829060195936039,0.7274170674275316,0.8430253412158505,0.97991341991342,0.7866666666666667,0.4125451903999078,0.4125451903999078,,,,
bicross_no_residual_update,8,0.08230484232113387,0.08230484232113387,0.9859565919289498,0.8272985135791854,0.7356186501611447,0.8562161287832176,0.9816017316017316,0.8066666666666666,0.3457308488333541,0.3457308488333541,,,,
bicross_t2i_only,1,0.7693087663254697,0.7693087663254697,0.8953073328742457,0.38534280988592967,0.30470550501354626,0.39359788671568047,0.8583549783549783,0.28969696969696973,0.6034802403594508,0.6034802403594508,,,,
bicross_t2i_only,2,0.49886948798237973,0.49886948798237973,0.920315798855087,0.491210673497555,0.3922527025770195,0.5098767196901711,0.9031818181818182,0.3736363636363636,0.5401934160969475,0.5401934160969475,,,,
bicross_t2i_only,3,0.3778192463881878,0.3778192463881878,0.9285472619359618,0.5313356252018078,0.4347126292004494,0.5294216424505958,0.9126623376623376,0.3727272727272727,0.5622409592433409,0.5622409592433409,,,,
bicross_t2i_only,4,0.2997046593614416,0.2997046593614416,0.9380180235150444,0.5440840450789746,0.4622491195560244,0.5718824463860207,0.93,0.4672727272727273,0.5702195640043779,0.5702195640043779,,,,
bicross_t2i_only,5,0.239961859207551,0.239961859207551,0.9381837556459728,0.5446716194380133,0.4661007917490893,0.5988700564971752,0.9354545454545454,0.4563636363636363,0.6804584382880817,0.6804584382880817,,,,
bicross_t2i_only,6,0.2014362977662313,0.2014362977662313,0.9384607879002084,0.549949248832658,0.4601735578217343,0.6254681647940075,0.948051948051948,0.5418181818181819,0.8189783627336675,0.8189783627336675,,,,
bicross_t2i_only,7,0.1662273791067691,0.1662273791067691,0.939658017130963,0.5516904558537798,0.4899936922571015,0.6161790017211703,0.942077922077922,0.5018181818181818,0.7972709718075666,0.7972709718075666,,,,
bicross_t2i_only,8,0.1352371533988559,0.1352371533988559,0.9386290307187928,0.5496970556989227,0.4591330041391799,0.6165137614678899,0.9457142857142856,0.5327272727272727,0.8181518641385165,0.8181518641385165,,,,
bicross_with_alignment_loss,1,0.778615046969077,0.8100514670383406,0.8944975487390768,0.3967983393433776,0.3189625821421284,0.4308273699960799,0.8776623376623377,0.28363636363636363,0.6117147288177952,0.6353865829381076,0.3143641905030141,0.03143641958339823,0.2367185698856006,0.0236718573014844
bicross_with_alignment_loss,2,0.4878641313610215,0.5137001921849363,0.9415047296739809,0.6011501746089493,0.4530914016692245,0.5401233152509181,0.9192207792207793,0.4218181818181818,0.4291809656042041,0.45374271519256354,0.2583606026023355,0.02583606067825193,0.245617513439872,0.02456175167903747
bicross_with_alignment_loss,3,0.31599153904449967,0.3394734383705654,0.9612220921719111,0.674866760857701,0.5631615225216566,0.662814357627953,0.9497835497835498,0.5345454545454545,0.3798554758230845,0.4017898187131593,0.2348189905235506,0.023481899434707798,0.21934342781702673,0.021934343136169637
bicross_with_alignment_loss,4,0.2288822114030148,0.24898925298574706,0.9677509075122518,0.7307695746049646,0.6320803059762325,0.6984451067729639,0.9542424242424242,0.5266666666666667,0.35862005457733614,0.37614695852453056,0.20107041648159582,0.020107042000363534,0.17526903441458033,0.017526903786894
bicross_with_alignment_loss,5,0.17362368779504223,0.19120066988778658,0.9715918206672255,0.7683689980259696,0.6603350857673745,0.7794377278984864,0.9727705627705628,0.7006060606060606,0.4194476465203545,0.4349908090540857,0.17576981777028622,0.0175769820954059,0.15543163559653536,0.01554316383193837
bicross_with_alignment_loss,6,0.13950370426734218,0.15544577495374748,0.9727891946796046,0.7735199698999335,0.6739995401036151,0.7770604130589668,0.9714718614718615,0.6842424242424242,0.4026441873384244,0.41680912605740805,0.15942070605879355,0.015942070864733267,0.1416493772015427,0.014164937924255
bicross_with_alignment_loss,7,0.11023578825040149,0.12447460947055478,0.9758789365082138,0.7908970435455718,0.6719059941477362,0.8065252856654407,0.9750649350649351,0.7236363636363636,0.4406202285714222,0.45301429170550717,0.14238820951862682,0.0142388211988603,0.12394063675042348,0.0123940639084938
bicross_with_alignment_loss,8,0.08403102261280197,0.0972515162899335,0.9764334263967457,0.8079345467848209,0.7125432183057038,0.8267087820573021,0.9777056277056276,0.7563636363636363,0.41917439041546345,0.43158868051388044,0.13220493155165003,0.0132204934023804,0.1241429021864226,0.012414290420711
