model_key,epoch,train_main_loss,train_loss,val_macro_auroc,val_macro_ap,val_macro_f1,val_micro_f1,val_label_accuracy,val_subset_accuracy,val_main_loss,val_loss
average_fusion,1,0.9167150786927101,0.9167150786927101,0.8319732443041042,0.25485783575912957,0.20084488624866248,0.3732752631854388,0.8721645021645021,0.29212121212121217,0.768688817024231,0.768688817024231
average_fusion,2,0.7150779507723248,0.7150779507723248,0.8506725143589259,0.28598809146030824,0.24785420095384494,0.35400506461346287,0.8470562770562772,0.3181818181818181,0.6772926506851659,0.6772926506851659
average_fusion,3,0.6472428942321337,0.6472428942321337,0.8741246684795643,0.33216946904826844,0.29955182750891723,0.42321756147003287,0.8801298701298701,0.29757575757575755,0.6481036872574778,0.6481036872574778
average_fusion,4,0.572224986943433,0.572224986943433,0.8897420305940634,0.3655650416006672,0.334545854234813,0.4396006689279495,0.8809090909090909,0.31939393939393934,0.5888221956021858,0.5888221956021858
average_fusion,5,0.5015990350053786,0.5015990350053786,0.8990451429704999,0.3944582998579662,0.3625378221055109,0.4692384621790191,0.892987012987013,0.3345454545454545,0.5573550867311883,0.5573550867311883
average_fusion,6,0.4505802737362634,0.4505802737362634,0.9047924176129832,0.41255051306582896,0.3789940648878591,0.48683054470139037,0.9022510822510822,0.3399999999999999,0.5587051736947263,0.5587051736947263
average_fusion,7,0.40629694588573356,0.40629694588573356,0.9091397817615411,0.42974132406885474,0.3922028737818562,0.5022069337618583,0.9125541125541125,0.36424242424242426,0.5810863382166082,0.5810863382166082
average_fusion,8,0.3678179947501128,0.3678179947501128,0.912133421608917,0.447804643046854,0.40724766415292857,0.5256099429397719,0.9197402597402599,0.3836363636363636,0.5836770269003781,0.5836770269003781
bidirectional_cross_attention,1,0.7535312197740495,0.7535312197740495,0.9018953869788309,0.41531300294276613,0.3328768980585246,0.4467340912071433,0.8834199134199134,0.29818181818181816,0.5850229035724294,0.5850229035724294
bidirectional_cross_attention,2,0.45264769971726865,0.45264769971726865,0.9425568373001166,0.6023265259001142,0.4578622366598842,0.5613603987996402,0.9236363636363637,0.4424242424242424,0.43299863226485974,0.43299863226485974
bidirectional_cross_attention,3,0.29305846125824353,0.29305846125824353,0.9609420750139908,0.6703235793909323,0.5595228483779523,0.6717192476404551,0.9511688311688311,0.5478787878787879,0.3898081770990834,0.3898081770990834
bidirectional_cross_attention,4,0.20767343923484358,0.20767343923484358,0.9676785475131275,0.7159438664959504,0.6078497386016356,0.7068687662248685,0.9556709956709958,0.5484848484848485,0.3674738702990792,0.3674738702990792
bidirectional_cross_attention,5,0.15317763541465798,0.15317763541465798,0.9696434715254015,0.7376208358609565,0.6234233344295651,0.770634908897334,0.9707792207792209,0.6872727272727274,0.48511954855738265,0.48511954855738265
bidirectional_cross_attention,6,0.1198156677548468,0.1198156677548468,0.9700062561438808,0.7536727806981854,0.6483562859180717,0.7760846550057591,0.9719480519480519,0.6884848484848485,0.46712112560416713,0.46712112560416713
bidirectional_cross_attention,7,0.08910696624414532,0.08910696624414532,0.972397752645838,0.7665170285649738,0.647774420067346,0.7906789631182782,0.9728138528138528,0.7030303030303031,0.5366147574759794,0.5366147574759794
bidirectional_cross_attention,8,0.06878540226616199,0.06878540226616199,0.974111150672706,0.7743942339388342,0.6716580770209396,0.8113852906195428,0.9763203463203464,0.7460606060606061,0.5620759390384862,0.5620759390384862
concat_fusion,1,0.8592733370387483,0.8592733370387483,0.8432712348406657,0.279503888633898,0.2501991291205563,0.36657063277289886,0.8468398268398268,0.2806060606060605,0.698268541206013,0.698268541206013
concat_fusion,2,0.6656202913244287,0.6656202913244287,0.8752773071546168,0.33920404595810894,0.30297375810911253,0.4239084695342999,0.8825108225108226,0.2896969696969696,0.6684258190068332,0.6684258190068332
concat_fusion,3,0.5545718468266916,0.5545718468266916,0.8942521848969734,0.3722581432993633,0.35314486803084955,0.4629180195512648,0.8929004329004329,0.3157575757575757,0.6007999051700939,0.6007999051700939
concat_fusion,4,0.45888159604281936,0.45888159604281936,0.9047734513361873,0.4104161765851297,0.3869399003050065,0.5019258173708048,0.9100432900432901,0.34242424242424235,0.5955186131867496,0.5955186131867496
concat_fusion,5,0.39110233945780276,0.39110233945780276,0.9104300912274056,0.43538379462282223,0.40977507891982307,0.5157708198589864,0.9148484848484847,0.3515151515151515,0.5909685971881404,0.5909685971881404
concat_fusion,6,0.3348125960183286,0.3348125960183286,0.9133336283783882,0.45249333872611164,0.40985712837028204,0.5329213334989462,0.9240692640692642,0.38545454545454544,0.6333012904181625,0.6333012904181625
concat_fusion,7,0.2899788891430581,0.2899788891430581,0.9143857530847722,0.46304017194209574,0.4236977973094686,0.54756357057211,0.9311255411255411,0.44424242424242427,0.6641578439871471,0.6641578439871471
concat_fusion,8,0.2520460132175558,0.2520460132175558,0.9160688168192501,0.48424375081057563,0.43505227969713456,0.565566490801752,0.9312554112554112,0.42303030303030303,0.6733382740526488,0.6733382740526488
gated_fusion,1,0.8971097595151538,0.8971097595151538,0.8288136163895992,0.2549739275184007,0.23292123064255663,0.35901955454858453,0.8507792207792209,0.2915151515151515,0.7237706877246047,0.7237706877246047
gated_fusion,2,0.7158053958917723,0.7158053958917723,0.8561338707519024,0.30871138450039565,0.2580413111413616,0.3784877295713091,0.8495238095238095,0.28848484848484846,0.6760766551711342,0.6760766551711342
gated_fusion,3,0.6337038534791416,0.6337038534791416,0.8760915771233148,0.33712604826946,0.29388682898084123,0.3993087413119845,0.8664069264069264,0.30484848484848487,0.6303849101789071,0.6303849101789071
gated_fusion,4,0.5529553899287434,0.5529553899287434,0.8897592787809643,0.37273128413595474,0.3494266263566593,0.4605170922487581,0.8940692640692641,0.34,0.6043359546227889,0.6043359546227889
gated_fusion,5,0.4834768560589924,0.4834768560589924,0.8984591914528011,0.40562319707341765,0.35131980047054573,0.4637230363382275,0.8908658008658009,0.32848484848484844,0.58704049652273,0.58704049652273
gated_fusion,6,0.4279778117590305,0.4279778117590305,0.9048722575107151,0.4272113662242794,0.38436600947066984,0.4924196688678619,0.9077489177489176,0.3721212121212121,0.6118167808561613,0.6118167808561613
gated_fusion,7,0.38136002655213885,0.38136002655213885,0.9092633251288581,0.4389809294862597,0.38647868853805195,0.5022046860915511,0.91,0.36787878787878786,0.6049586014675371,0.6049586014675371
gated_fusion,8,0.3371084632870283,0.3371084632870283,0.9136207156821085,0.4557876058312074,0.4116632182565636,0.5339392784676091,0.9184848484848485,0.35333333333333333,0.6880230542385216,0.6880230542385216
image_only,1,0.964300611663961,0.964300611663961,0.7617914019109836,0.22513560436477986,0.1763560205312419,0.34674260478152785,0.8711255411255411,0.1333333333333333,0.9030222774274422,0.9030222774274422
image_only,2,0.8466363618763492,0.8466363618763492,0.7929463768434335,0.24186581522524994,0.2056616234746246,0.3672295063819724,0.8758441558441558,0.18787878787878784,0.8289131449208115,0.8289131449208115
image_only,3,0.7476151564982874,0.7476151564982874,0.8054189180663909,0.25831460566581266,0.23925207909446478,0.345718352773857,0.8599567099567099,0.17757575757575758,0.766114203713157,0.766114203713157
image_only,4,0.6749587863195899,0.6749587863195899,0.8105347173194023,0.2694253811476753,0.26247670745683704,0.3835039516080072,0.8783116883116883,0.20909090909090902,0.7427456727172389,0.7427456727172389
image_only,5,0.6267731189727783,0.6267731189727783,0.8140837065274064,0.27749916734408137,0.2788745019111258,0.3641026751938319,0.8685281385281386,0.19393939393939388,0.7318798383076985,0.7318798383076985
image_only,6,0.5882669202102627,0.5882669202102627,0.8153746440210502,0.2823856854404016,0.26972006682016264,0.3616925545813536,0.8652380952380953,0.1854545454545454,0.7325254722797508,0.7325254722797508
image_only,7,0.5536804158607375,0.5536804158607375,0.8160476145231916,0.28355461786770664,0.28190058491272135,0.3818793529036984,0.8777056277056277,0.18727272727272726,0.759523019140417,0.759523019140417
image_only,8,0.526436908465294,0.526436908465294,0.8156809972784784,0.2886892602258187,0.2766637207417199,0.3734292779228117,0.8793506493506493,0.20181818181818176,0.7606772195931636,0.7606772195931636
self_attention_fusion,1,0.909207270188157,0.909207270188157,0.8217137001504868,0.22868522026550553,0.21729602390476807,0.3307607366209567,0.8277056277056277,0.2224242424242424,0.7599673875895414,0.7599673875895414
self_attention_fusion,2,0.7110376399805033,0.7110376399805033,0.8946898424616769,0.38739498865451744,0.3147685642988975,0.44379786556844913,0.8787445887445887,0.2642424242424242,0.6126838894323869,0.6126838894323869
self_attention_fusion,3,0.5226223611442973,0.5226223611442973,0.9326958895919363,0.5624038532154576,0.45733457865958527,0.5808206869905532,0.926103896103896,0.3721212121212121,0.46464526035568926,0.46464526035568926
self_attention_fusion,4,0.3924661245836813,0.3924661245836813,0.947552179413479,0.6277378628291231,0.5492926066793204,0.6238100502735144,0.9371428571428572,0.4206060606060606,0.41425057761596906,0.41425057761596906
self_attention_fusion,5,0.3235567966415591,0.3235567966415591,0.9556796870280535,0.7014143099797344,0.5740611286658052,0.6443753100145114,0.9421645021645021,0.4636363636363636,0.37182476347143,0.37182476347143
self_attention_fusion,6,0.2653131036169654,0.2653131036169654,0.9628612982562058,0.7209716192477931,0.6045788725699429,0.679475609398223,0.9495670995670995,0.48,0.42229784662073305,0.42229784662073305
self_attention_fusion,7,0.23808128187163335,0.23808128187163335,0.9649621884634415,0.7699737545479258,0.6331042394241627,0.696241307909481,0.9570562770562772,0.5666666666666667,0.3667277960343794,0.3667277960343794
self_attention_fusion,8,0.2085283220387273,0.2085283220387273,0.967314350685213,0.7519154110980996,0.6585875402996118,0.7274311414160257,0.9607359307359307,0.5915151515151514,0.3686083035667737,0.3686083035667737
text_only,1,0.9195953993154333,0.9195953993154333,0.853281930451966,0.27744336943326536,0.19124098318436025,0.3719137956048739,0.8662337662337661,0.25939393939393934,0.8270388361901948,0.8270388361901948
text_only,2,0.761253635313146,0.761253635313146,0.8607161960373256,0.2843186168551575,0.23748694361039982,0.3969627726626697,0.8749783549783551,0.32303030303030306,0.7142678475379943,0.7142678475379943
text_only,3,0.6907179268514003,0.6907179268514003,0.8764045033842472,0.3181794353529763,0.2720419853732492,0.38857598201503674,0.8607792207792208,0.32060606060606056,0.6622139259540674,0.6622139259540674
text_only,4,0.6452806671235926,0.6452806671235926,0.8904321024497559,0.3630671399684326,0.3023349031779538,0.44053747906304147,0.8866666666666667,0.3418181818181818,0.629971792119922,0.629971792119922
text_only,5,0.6016903920130595,0.6016903920130595,0.9007667155445631,0.4008635264458389,0.3315374710820634,0.4380174988474832,0.8818181818181818,0.33939393939393936,0.5870356214407719,0.5870356214407719
text_only,6,0.566000683899513,0.566000683899513,0.9086329941672147,0.42746460252670965,0.36286119505821174,0.4534282901962461,0.884978354978355,0.3418181818181818,0.557103753306649,0.557103753306649
text_only,7,0.5341761211012208,0.5341761211012208,0.9136208634795505,0.44525328581254525,0.3649783093288314,0.48566982520097907,0.899047619047619,0.35515151515151505,0.5587702420263579,0.5587702420263579
text_only,8,0.5100899020180388,0.5100899020180388,0.9181047174646076,0.45849833401325063,0.3835204296452949,0.5017709357028751,0.9077489177489176,0.38484848484848483,0.535046896573269,0.535046896573269
