model_key,model,seeds,macro_auroc,macro_ap,macro_f1,micro_f1,label_accuracy,subset_accuracy,loss
bicross_no_residual_update,No residual update,"42,95,1024",0.9758609579908543,0.8076574743355117,0.7510594629931465,0.8603015503960932,0.9817316017316018,0.8042424242424242,0.33845002381131045
bicross_with_alignment_loss,Full bidirectional cross-attention + alignment loss,"42,95,1024",0.9645005080550186,0.7619283510170115,0.702437181485514,0.8226958226958226,0.9768398268398268,0.7521212121212121,0.43758093275807114
bidirectional_cross_attention,Full bidirectional cross-attention,"42,95,1024",0.9624013864870277,0.7506045138970746,0.6840538183641005,0.815847238035824,0.9762337662337662,0.7387878787878788,0.5013207910627578
bicross_no_layer_norm,No layer normalization,"42,95,1024",0.9611834743741562,0.7393261878672881,0.6803385936789429,0.7833074151754635,0.9703463203463203,0.6775757575757576,0.40830295300844943
bicross_i2t_only,Image-to-text only,"42,95,1024",0.9451923705227312,0.6641159050123148,0.5771308024876318,0.6845858821450991,0.9433766233766234,0.6018181818181818,0.5093239323839996
bicross_no_cross_attention,No cross-attention,"42,95,1024",0.9265257125742666,0.5449121707428047,0.4649723597712437,0.5889916270698065,0.9364502164502165,0.4763636363636364,0.663970931289774
bicross_t2i_only,Text-to-image only,"42,95,1024",0.9133071059943187,0.471496398630229,0.4085563302881394,0.509971698575147,0.9071428571428571,0.396969696969697,0.64723304809946
