epoch,train_main_loss,train_loss,val_macro_auroc,val_macro_ap,val_macro_f1,val_micro_f1,val_label_accuracy,val_subset_accuracy,val_main_loss,val_loss
1,0.9011761007695485,0.9011761007695485,0.8236638019242523,0.2566383077206639,0.24985534729737982,0.35203293875450337,0.8364935064935065,0.20727272727272728,0.7599313731627031,0.7599313731627031
2,0.7099220275832449,0.7099220275832449,0.9030763342189002,0.408376170618547,0.343414730813324,0.44991001799640074,0.8809090909090909,0.26181818181818184,0.6369921725446528,0.6369921725446528
3,0.5209675053205698,0.5209675053205698,0.9405854176748879,0.5795485519461645,0.48700357016130136,0.6032233307751343,0.9328571428571428,0.3836363636363636,0.5451782188632271,0.5451782188632271
4,0.4071859524106942,0.4071859524106942,0.9540649970830754,0.6316246798591261,0.5613279070678782,0.6352,0.9407792207792208,0.43272727272727274,0.46781940601088784,0.46781940601088784
5,0.3212821369791811,0.3212821369791811,0.965027726429611,0.7120412387371423,0.5757976957330794,0.6583953680727874,0.9463636363636364,0.5163636363636364,0.3945619176734578,0.3945619176734578
6,0.27255419450677754,0.27255419450677754,0.9673127483089102,0.7362357502724799,0.6109568687279742,0.7084805653710248,0.9571428571428572,0.54,0.5610602400519631,0.5610602400519631
7,0.23739922440386524,0.23739922440386524,0.9717552108657989,0.785969740632804,0.6221431757860306,0.646559849198869,0.9512987012987013,0.5127272727272727,0.40244923797520726,0.40244923797520726
8,0.22324322707608446,0.22324322707608446,0.9742487772219838,0.7879228812619203,0.6386218154578863,0.7209302325581395,0.9563636363636364,0.5836363636363636,0.35978599499572406,0.35978599499572406
